Time (09/18/2021),Ambient (*F),Object (*F),Ambient (*C),Object (*C)
18:03:41,73.60,73.20,23.11,22.89
18:03:41,73.60,73.45,23.11,23.03
18:03:42,73.60,73.27,23.11,22.93
18:03:42,73.60,73.45,23.11,23.03
18:03:43,73.60,73.27,23.11,22.93
18:03:43,73.60,73.49,23.11,23.05
18:03:44,73.71,73.89,23.17,23.27
18:03:44,73.60,74.10,23.11,23.39
18:03:45,73.63,74.32,23.13,23.51
18:03:45,73.63,74.93,23.13,23.85
18:03:46,73.71,74.86,23.17,23.81
18:03:46,73.60,74.46,23.11,23.59
18:03:47,73.56,74.64,23.09,23.69
18:03:47,73.60,74.57,23.11,23.65
18:03:48,73.60,74.86,23.11,23.81
18:03:48,73.60,74.68,23.11,23.71
18:03:49,73.63,74.75,23.13,23.75
18:03:49,73.63,74.32,23.13,23.51
18:03:50,73.63,74.32,23.13,23.51
18:03:50,73.63,74.35,23.13,23.53
18:03:51,73.63,74.46,23.13,23.59
18:03:51,73.63,74.10,23.13,23.39
18:03:52,73.63,74.14,23.13,23.41
18:03:52,73.60,74.03,23.11,23.35
18:03:53,73.71,74.43,23.17,23.57
18:03:53,73.71,74.97,23.17,23.87
18:03:54,73.63,75.61,23.13,24.23
18:03:54,73.63,74.68,23.13,23.71
18:03:55,73.60,73.78,23.11,23.21
18:03:55,73.71,73.78,23.13,23.21
18:03:56,73.74,74.68,23.19,23.71
18:03:56,73.71,75.29,23.17,24.05
18:03:57,73.60,76.48,23.11,24.71
18:03:57,73.74,73.06,23.19,22.81
18:03:58,73.71,73.27,23.17,22.93
18:03:58,73.71,74.14,23.17,23.41
18:03:59,73.74,73.78,23.19,23.21
18:03:59,73.74,85.44,23.19,29.69
18:04:00,73.74,93.47,23.19,35.59
18:04:00,73.71,90.84,23.17,32.69
18:04:01,73.78,88.43,23.21,31.35
18:04:01,73.74,79.86,23.19,26.59
18:04:02,73.81,73.92,23.23,23.29
18:04:02,73.81,72.27,23.23,22.37
18:04:03,73.78,72.55,23.21,22.53
18:04:03,73.81,73.49,23.23,23.05
18:04:04,73.71,73.06,23.17,22.81
18:04:04,73.81,73.31,23.23,22.95
18:04:05,73.78,72.73,23.21,22.63
18:04:05,73.78,72.95,23.21,22.75
18:04:06,73.81,72.77,23.23,22.65
18:04:06,73.78,72.77,23.21,22.65
18:04:07,73.78,72.37,23.21,22.43
18:04:08,73.74,72.37,23.19,22.43
18:04:08,73.74,72.01,23.19,22.23
18:04:09,73.78,72.05,23.21,22.25
18:04:09,73.85,72.01,23.25,22.23
18:04:10,73.78,72.01,23.21,22.23
18:04:10,73.85,72.05,23.25,22.25
18:04:11,73.81,72.01,23.23,22.23
18:04:11,73.85,71.94,23.25,22.19
18:04:12,73.78,72.12,23.21,22.29
18:04:12,73.78,72.37,23.21,22.43
18:04:13,73.81,72.37,23.23,22.43
18:04:13,73.81,72.37,23.23,22.43
18:04:14,73.85,72.52,23.25,22.51
18:04:14,73.85,72.52,23.25,22.51
18:04:15,73.78,72.63,23.21,22.57
18:04:15,73.85,72.52,23.25,22.51
18:04:16,73.78,72.37,23.21,22.43
18:04:16,73.78,72.88,23.21,22.71
18:04:17,73.85,73.45,23.25,23.03
18:04:17,73.78,73.45,23.21,23.03
18:04:18,73.81,73.31,23.23,22.95
18:04:18,73.71,73.31,23.17,22.95
18:04:19,73.71,73.45,23.17,23.03
18:04:19,73.85,73.49,23.25,23.05
18:04:20,73.81,73.38,23.23,22.99
18:04:20,73.81,72.63,23.23,22.57
18:04:21,73.81,72.73,23.23,22.63
18:04:21,73.78,75.72,23.21,24.29
18:04:22,73.78,76.23,23.21,24.57
18:04:22,73.78,85.37,23.21,29.65
18:04:23,73.78,85.48,23.21,29.71
18:04:23,73.85,92.71,23.25,33.73
